2019-01,280839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02,198871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03,202298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04,195395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05,155731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06,245820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07,236009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08,225363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09,214364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10,225484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11,229847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12,220846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,288819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02,227602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03,172348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04,29386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05,3593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06,28567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07,62904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08,89451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09,74638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10,85663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11,116956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12,133574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01,157614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02,100191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03,122498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04,119306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05,104644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06,150762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07,51362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08,49711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09,80935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10,116465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11,143606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12,161457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01,225304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02,137536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03,177348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04,166129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
